num,x,y,spp,dbh01,dbh04,hgt,crd,kabudachi,death
3,7.757355185,0.351795994,bp,1.89,2.355493158,3.8,66.4911911705954,0.0,1
4,9.627327531,3.056552398,bp,1.24,1.718873385,3.1,143.44264007534954,0.0,1
8,3.826887738,6.304417469,bp,3.38,4.169859509,4.3,109.04855310376433,0.0,1
9,3.553023623,6.203156162,bp,2.41,2.737465021,2.8,116.58157078266946,0.0,1
20,15.93481913,9.304270772,bp,22.18619907,22.95014279,17.3,78.70106312151019,0.0,1
50,12.15980333,10.70112985,bp,9.549296586,8.307888029,5.8,86.54946544001061,0.0,1
56,13.454595,14.84395226,bp,0.23,0.0,1.2,92.42192174865819,0.0,0
58,16.76393552,18.10400307,bp,4.265352475,4.806479281,5.8,101.67720713290981,121.95315983757017,1
59,17.15797834,18.36850519,bp,2.1,2.260000192,1.3,84.74790537632033,48.63891494837656,1
60,16.70193839,18.00222807,bp,11.80929678,11.96845172,8.9,104.32828674107614,54.11913003787312,1
61,16.75687558,18.50124819,bp,4.074366543,4.360845441,4.8,96.77627927466816,79.42641637055641,1
62,16.82220318,18.57134064,bp,3.851549623,4.583662361,5.9,94.81735438928018,77.23502749436278,1
65,12.43323761,18.22938045,bp,6.079718826,6.429859701,5.1,80.1081117846168,0.0,1
68,0.173054468,11.40941554,bp,0.36,0.56,1.5,79.41537468150878,13.837199622677444,1
69,0.169432777,11.51052724,bp,0.49,0.76,1.9,79.12069128179184,94.55813704583134,1
70,0.169432777,11.51052724,bp,0.91,0.86,0.0,79.12069128179184,52.558137045831344,1
72,8.033570294,12.34918035,bp,5.952394872,5.98422586,8.2,81.90770856041073,0.0,1
73,9.768476375,10.64882148,bp,5.793239929,6.875493542,6.2,79.32799878314364,34.57587578021695,1
74,9.823547601,10.72139624,bp,3.15,3.724225668,4.5,79.16763753364658,63.58931560320536,1
75,9.752137296,10.3916863,bp,0.26,0.29,1.4,109.94915051253761,0.0,1
76,9.48661202,10.79661307,bp,0.27,0.0,1.5,104.80814269985557,0.0,0
79,1.876620648,16.58792797,bp,15.08788861,14.92873366,11.6,84.53544191444753,0.0,1
84,1.950339134,23.57404015,bp,4.43,0.0,0.0,116.01007369666009,22.376342336652204,0
86,2.061185277,23.70777299,bp,2.98,3.21492985,4.3,108.18535873710496,31.768664492091705,1
87,1.861904153,23.86750491,bp,1.6,1.82,3.8,108.6663446035635,26.121645033820382,1
89,9.453717384,20.52573616,bp,2.96,3.342253805,4.6,92.80382403954685,0.0,1
97,9.026821127,29.76995026,bp,2.16,2.832957987,3.1,67.77348084588469,0.0,1
102,13.28027351,26.25297375,bp,14.13295895,14.13295895,11.7,65.18242799586726,7.068277945612744,1
104,13.19007931,26.49414861,bp,1.82,2.228169203,1.9,65.92897526170087,54.887737391502874,1
108,17.92018926,31.12720986,bp,0.99,0.84,1.5,68.56279274022906,0.0,1
112,17.36040106,38.3487362,bp,4.647324338,4.774648293,5.1,67.526994265629,0.0,1
116,8.573776002,33.91851823,bp,1.91,1.92,3.2,96.46983636495217,0.0,1
120,2.671769976,36.37033317,bp,9.644789551,10.59971921,7.3,110.70975885780291,0.0,1
121,2.907135255,36.66064334,bp,7.734930234,7.989578143,5.7,134.90028174677752,0.0,1
123,3.371224653,35.80305414,bp,1.39,1.878028328,3.7,96.48018713689672,59.707254762870406,1
124,3.421525919,35.79970506,bp,3.01,3.023943919,3.6,95.40617653312663,27.57245319614281,1
125,4.98342774,37.21790155,bp,1.28,1.273239545,2.4,91.76840445373898,0.0,1
126,5.604086882,37.34503559,bp,3.65,4.042535555,5.4,88.28677615963646,0.0,1
173,39.42068245,46.00163663,bp,2.42,2.514648101,2.4,92.51608636823374,59.20597433647842,1
174,39.87275949,45.95562928,bp,3.88,3.978873577,2.4,91.97734429581301,43.87680292920156,1
175,39.6571899,46.05794381,bp,8.880845825,9.230986699,9.0,94.1196540614063,28.786761953894874,1
176,39.41650565,46.04528919,bp,0.62,0.66,1.8,92.94900098906174,100.37758773355237,1
193,31.57032102,49.18675633,bp,10.12225438,10.21774735,13.2,150.61830982840357,15.052871472880256,1
194,31.74712285,49.24638642,bp,2.34,2.76929601,4.8,154.21047438804806,60.22852468820066,1
195,31.86148837,49.31583926,bp,0.8,0.85,2.4,150.69187781570207,49.26967423018813,1
197,33.94052762,47.83486708,bp,1.92,2.132676237,2.5,164.2393034502226,0.0,1
202,36.09298382,48.96555343,bp,8.403380995,8.880845825,8.0,150.28802747896052,0.0,1
217,25.69714677,39.75189904,bp,13.1461983,14.70591674,10.6,92.99191357657571,15.905115871373578,1
218,25.84782801,39.61481465,bp,3.24,3.565070725,4.8,93.27412509183671,64.53450840418344,1
220,21.82011213,39.95716982,bp,29.60281942,29.82563634,19.0,94.76404407647279,0.0,1
226,22.56361395,29.63476951,bp,11.42732491,11.96845172,10.9,62.25249840026956,35.006051628227745,1
227,22.52348569,29.41777681,bp,4.26,4.169859509,4.9,61.74742956433566,62.366976187698974,1
228,22.74691845,30.04104273,bp,6.429859701,7.130141451,6.6,61.554008619387034,33.53019314307471,1
229,22.38468593,30.00986379,bp,0.53,0.46,1.6,62.687611404200084,52.187190222668285,1
230,23.91016579,13.03216651,bp,1.39,1.84619734,3.4,40.993237802543185,0.0,1
231,28.71656669,11.46410725,bp,2.46,2.705634033,4.5,83.64201745679932,15.955919286107806,1
232,28.9946422,11.46440326,bp,1.98,2.260000192,3.8,83.84814493843263,28.56255837995087,1
233,29.12702846,11.45907783,bp,2.04,2.355493158,4.1,85.59801085994795,24.023716567570116,1
234,28.87883788,11.66221625,bp,0.99,1.06,2.5,81.07991012421483,24.604915361110788,1
236,20.16262745,17.41511077,bp,5.825070917,5.793239929,5.3,50.30707451927841,59.3849012095381,1
237,20.3590666,17.44510838,bp,3.85,4.201690498,5.8,49.53269845289649,45.20868409569293,1
238,20.05654453,17.30059215,bp,1.56,1.91,2.7,52.82007556193487,69.87192163397842,1
239,20.07653891,17.42113556,bp,2.36,2.705634033,3.6,50.746741085210836,96.23250365833671,1
240,20.25568094,17.68407097,bp,0.76,0.89,2.6,50.96224476991884,46.28201416524417,1
247,36.74044545,13.20315534,bp,3.42,4.424507418,5.6,119.69169071628141,28.906449047692426,1
248,36.94094105,13.13473417,bp,3.27,3.596901714,3.8,119.46255773876248,24.576670733057053,1
249,36.69155563,13.45001389,bp,3.39,3.724225668,4.7,129.75394691362916,21.724698723029327,1
250,37.12422529,13.64136236,bp,2.43,2.673803044,3.3,123.89194128589259,536.1012684811346,1
251,37.31637428,13.58727654,bp,4.08,4.933803236,6.4,115.74550403107133,39.084921781231195,1
252,37.13042308,13.6335146,bp,5.156620156,5.76140894,4.3,123.53880453123458,264.2928416374646,1
256,30.83068679,19.07379167,bp,9.008169779,9.358310654,10.4,44.217798015975646,54.77223219677546,1
257,31.18478528,19.12842207,bp,15.34253651,15.62901541,13.2,46.89029792225322,51.73062845731667,1
258,31.25265238,18.90136561,bp,3.27,3.978873577,5.2,47.597728071544765,108.49938205865158,1
259,31.23488817,18.98194381,bp,1.98,2.514648101,4.4,47.35684272836468,160.46789541228517,1
261,31.65791449,2.799304944,bp,0.28,0.36,0.8,96.22921650614211,0.0,1
262,31.90895562,3.610078182,bp,6.652676621,6.620845633,6.9,89.54363764374015,0.0,1
283,42.73040866,1.340250087,bp,3.819718634,3.883380611,4.3,71.93120523646233,0.0,1
284,44.22026646,2.09614328,bp,1.95,2.260000192,2.8,68.46762627682921,0.0,1
288,45.18372252,5.445988491,bp,2.98,3.278591828,3.8,73.6776855199144,20.485869400002695,1
289,45.11670472,5.311403959,bp,3.08,3.246760839,3.7,74.29340886876513,19.820743770132477,1
300,54.96028895,11.23567387,bp,1.35,1.32,2.2,90.58735430534749,0.0,1
301,53.73479672,9.53160815,bp,6.843662553,6.68450761,7.5,93.79274895183656,75.17894540008376,1
302,53.81732526,9.587188991,bp,7.480282325,7.957747155,8.8,94.10318765892204,68.78073728434907,1
303,51.42521329,9.780967129,bp,6.207042781,6.46169069,8.2,70.57842708186878,23.14324058936973,1
304,51.42490599,10.03053348,bp,4.329014452,4.488169395,5.4,70.26872619271944,38.96958863449527,1
305,51.40810554,10.15092646,bp,0.69,0.89,1.9,70.0518681935094,66.94672760341703,1
306,51.50403557,10.22651094,bp,1.78,1.82,2.3,70.16878315021421,39.850825919038556,1
311,49.05223596,10.28012025,bp,4.265352475,4.679155327,6.0,90.05114451585065,0.0,1
313,47.29626005,9.565030363,bp,0.51,0.87,1.9,80.86857568496143,0.0,1
319,47.84499588,17.12667878,bp,1.31,1.34,3.4,80.50980429576133,65.0947596191195,1
320,47.90814801,17.25279863,bp,4.997465213,5.029296202,5.0,82.30809086182973,55.84949610131708,1
321,47.83184385,17.41357857,bp,7.161972439,7.161972439,8.1,84.69834070147697,46.26200634018327,1
322,47.80115365,17.56242997,bp,2.07,2.291831181,3.1,85.21837023342036,65.36986820717655,1
325,44.28159432,19.39615976,bp,2.41,2.864788976,4.0,87.34836001584486,0.0,1
327,43.93244754,20.28046017,bp,4.074366543,4.61549335,3.9,84.67701106645441,0.0,1
334,42.07746644,24.93668822,bp,6.970986507,7.034648485,9.4,79.82514594050392,38.322876446880585,1
335,41.48649521,24.85692706,bp,3.19,3.278591828,3.6,70.51751874031642,51.281094011274064,1
336,41.99849163,25.02611145,bp,0.78,0.73,2.0,75.40444460155183,119.2614393918588,1
337,41.97047422,25.00003002,bp,1.46,1.65,3.5,75.09450811387265,102.9517618090145,1
338,41.80943908,24.94226602,bp,0.78,0.77,1.7,74.24334438073583,71.0232852861017,1
339,41.88773344,24.88706458,bp,1.53,1.71,3.6,73.8147483477419,72.39926337776153,1
340,41.55420395,24.839164,bp,1.24,1.33,2.4,70.61922865833834,77.63795952689216,1
341,41.38976844,24.88230285,bp,1.14,1.2,1.5,70.31941312959329,57.92264432370055,1
342,41.48978742,25.90736237,bp,0.84,0.84,2.0,107.02001913467574,14.78149326929202,1
343,41.33442637,25.81367879,bp,1.75,2.100845249,3.85,94.83493952969903,8.283494193813082,1
344,41.59433748,26.19418979,bp,1.06,1.09,2.7,141.3472002596705,9.937319048945007,1
345,41.59772594,26.48046368,bp,0.97,0.0,1.9,104.43196361653065,7.583979252628153,0
350,50.24990056,24.25971371,bp,4.647324338,5.347606088,7.0,97.3021305481106,0.0,1
356,54.34095821,23.45429386,bp,0.91,1.15,2.4,55.01327103046153,0.0,1
367,46.16801231,31.56533686,bp,3.75,4.551831372,6.0,84.68399254361412,60.03475433141463,1
